ERS1003584|ERS1003584|SC|contig000001|-|2281973|2293960	ERS1003584|ERS1003584|SC|contig000001|-|2281973|2293960	100.000	3995	0	0	1	3995	1	3995	0.0	8188
ERS1003585|ERS1003585|SC|contig000002|-|1754394|1758725	ERS1003585|ERS1003585|SC|contig000002|-|1754394|1758725	100.000	1443	0	0	1	1443	1	1443	0.0	2749
ERS1003585|ERS1003585|SC|contig000002|-|1754394|1758725	ERS1003585|ERS1003585|SC|contig000002|-|4802104|4809684	39.474	950	412	28	1	796	1	941	3.22e-122	417
ERS1003585|ERS1003585|SC|contig000002|-|1754394|1758725	ERS1003585|ERS1003585|SC|contig000002|-|4802104|4809684	34.936	1331	621	47	110	1268	1081	2338	4.13e-113	390
ERS1003585|ERS1003585|SC|contig000002|-|1754394|1758725	ERS1003585|ERS1003585|SC|contig000002|-|4802104|4809684	40.645	310	151	9	779	1056	2110	2418	5.07e-32	130
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	100.000	2189	0	0	1	2189	1	2189	0.0	4234
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1003585|ERS1003585|SC|contig000002|+|3528405|3540032	60.218	1194	464	11	1007	2189	2682	3875	0.0	1342
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1003585|ERS1003585|SC|contig000002|+|3528405|3540032	57.325	1017	415	14	940	1938	1206	2221	0.0	1025
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1003585|ERS1003585|SC|contig000002|+|3528405|3540032	42.405	158	82	4	940	1089	564	720	1.10e-22	101
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1003585|ERS1003585|SC|contig000002|+|3528405|3540032	54.762	84	37	1	1777	1859	637	720	4.47e-17	82.4
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1003585|ERS1003585|SC|contig000002|+|3528405|3540032	53.571	84	38	1	1084	1166	637	720	8.60e-17	81.6
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1003585|ERS1003585|SC|contig000002|+|3528405|3540032	52.688	93	43	1	1854	1945	637	729	1.01e-16	81.3
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1003585|ERS1003585|SC|contig000002|+|1964973|1973093	61.178	1324	381	34	930	2189	1452	2706	0.0	1299
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1022025|ERS1022025|SC|contig000001|-|4260104|4266571	54.062	1071	423	30	1007	2011	905	1972	0.0	932
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1022025|ERS1022025|SC|contig000001|-|4260104|4266571	55.271	977	393	24	1007	1939	1066	2042	0.0	912
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1022025|ERS1022025|SC|contig000001|-|4260104|4266571	50.139	718	303	19	1314	1976	815	1532	8.49e-165	555
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1022027|ERS1022027|SC|contig000001|-|830572|837279	53.501	1071	429	30	1007	2011	985	2052	0.0	928
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1022027|ERS1022027|SC|contig000001|-|830572|837279	55.430	976	392	24	1007	1939	1147	2122	0.0	919
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1022027|ERS1022027|SC|contig000001|-|830572|837279	53.055	1031	415	27	1015	1976	824	1854	0.0	877
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1022024|ERS1022024|SC|contig000048|-|85321|91782	52.421	1074	449	29	1007	2028	985	2048	0.0	924
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1022024|ERS1022024|SC|contig000048|-|85321|91782	54.359	975	394	24	1015	1938	824	1798	0.0	882
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1031246|ERS1031246|SC|contig000008|-|709415|715882	52.138	1076	451	29	1007	2028	985	2050	0.0	921
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1031246|ERS1031246|SC|contig000008|-|709415|715882	52.314	1059	433	28	1015	2003	824	1880	0.0	884
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1022026|ERS1022026|SC|contig000001|+|2312063|2318530	52.138	1076	451	29	1007	2028	985	2050	0.0	919
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1022026|ERS1022026|SC|contig000001|+|2312063|2318530	54.145	977	395	24	1015	1938	824	1800	0.0	880
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1018592|ERS1018592|SC|contig000003|-|163498|170211	55.010	978	395	24	1007	1939	1147	2124	0.0	899
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1018592|ERS1018592|SC|contig000003|-|163498|170211	52.178	1033	423	27	1015	1976	824	1856	0.0	860
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1018586|ERS1018586|SC|contig000007|+|88813|93849	55.010	978	395	24	1007	1939	588	1565	0.0	895
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1018586|ERS1018586|SC|contig000007|+|88813|93849	52.178	1033	423	27	1015	1976	265	1297	0.0	856
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1018585|ERS1018585|SC|contig000007|+|70191|76181	50.835	1078	456	29	1015	2028	824	1891	0.0	866
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1018585|ERS1018585|SC|contig000007|+|70191|76181	54.993	731	294	18	1007	1702	1147	1877	0.0	674
ERS1003585|ERS1003585|SC|contig000002|+|1839889|1846458	ERS1018587|ERS1018587|SC|contig000009|-|46030|51768	52.971	976	408	24	1015	1939	824	1799	0.0	853
